0: [6.38,  5.93,  2.00]:[1.5707963267948966, 0, -1.5707963267948966] 
1: [6.72,  5.59,  2.00]:[1.5707963267948966, 0, 0] 
2: [7.06,  5.96,  2.00]:[1.5707963267948966, 0, 1.5707963267948966]
3: [6.69,  6.30,  2.00]:[1.5707963267948966, 0, 3.141592653589793] 
4: [12.39, 11.94, 2.00]:[1.5707963267948966, 0, -1.5707963267948966]
5: [12.70, 11.61, 2.00]:[1.5707963267948966, 0, 0] 
6: [13.05, 11.94, 2.00]:[1.5707963267948966, 0, 1.5707963267948966]
7: [12.75, 12.27, 2.00]:[1.5707963267948966, 0, 3.141592653589793] 
8: [12.39, 5.95,  2.00]:[1.5707963267948966, 0, -1.5707963267948966]
9: [12.75, 5.62,  2.00]:[1.5707963267948966, 0, 0] 
10:[13.05, 5.97,   2.00]:[1.5707963267948966, 0, 1.5707963267948966] 
11:[12.69, 6.30,   2.00]:[1.5707963267948966, 0, 3.141592653589793] 
12:[6.40,  11.93,  2.00]:[1.5707963267948966, 0, -1.5707963267948966]
13:[6.75,  11.59,  2.00]:[1.5707963267948966, 0, 0] 
14:[7.08,  11.94,  2.00]:[1.5707963267948966, 0, 1.5707963267948966]
15:[6.73,  12.27,  2.00]:[1.5707963267948966, 0, 3.141592653589793] 
16:[0.72,  5.95,   2.00]:[1.5707963267948966, 0, 1.614148143617446]
17:[9.41,  16.92,  2.06]:[1.5707963267948966, 0, 0] 
18:[18.14, 11.93,  2.00]:[1.5707963267948966, 0, -1.5707963267948966]
19:[17.78, 5.74,   2.00]:[1.5707963267948966, 0, -1.5707963267948966] 
20:[6.76,  0.68,   2.08]:[1.5707963267948966, 0, 3.141592653589793] 
21:[0.75,  11.94,  2.00]:[1.5707963267948966, 0, 1.5707963267948966] 
22:[12.73, 0.29,   2.00]:[1.5707963267948966, 0, 3.141592653589793]
23:[17.32, 16.78,  2.04]:[1.5707963267948966, 0, 0] 
24:[18.33, 0.29,   2.00]:[1.5707963267948966, 0, 3.141592653589793]
25:[1.26,  0.01,   2.00]:[1.5707963267948966, 0, 3.141592653589793] 
26:[0.47,  17.64,  2.00]:[1.5707963267948966, 0, 0]
27:[12.71, 16.82,  2.00]:[1.5707963267948966, 0, 0] 
28:[5.32,  17.64,  2.00]:[1.5707963267948966, 0, 0]
29:[20.7,  8.94,   2.00]:[1.5707963267948966, 0, -1.5707963267948966]
